 ;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72
a;2;9;2;0;0;9;9;9;0;0;15;12;2;2;0;2;2;2;0;2;2;2;2;2;2;2;2;28;2;2;2;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;9;9;0;9;0;9;0;9;0;9;0;2;2;2;2;2;2;0;9;2;9;9;9
b;2;9;2;0;0;9;9;9;0;0;2;2;2;2;0;2;2;2;0;2;2;22;2;2;2;2;2;2;2;2;2;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;9;9;0;9;0;9;0;9;0;9;0;2;2;2;2;2;2;0;9;2;9;9;9
c;10;9;2;0;0;9;9;9;0;0;2;2;2;2;0;2;2;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;9;9;0;9;0;9;0;9;0;9;0;2;2;2;2;2;2;0;9;2;9;9;9
d;19;9;2;0;0;9;9;9;0;0;2;2;2;2;0;2;2;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;49;2;9;9;0;9;0;9;0;9;0;9;0;2;2;2;2;2;2;0;9;2;9;9;9
e;38;9;2;0;0;9;9;9;0;0;2;2;2;2;0;2;17;2;0;2;2;2;2;24;2;2;2;2;2;2;2;2;0;2;2;2;37;2;2;2;41;2;2;2;2;2;2;2;2;2;9;9;0;9;0;9;0;9;0;9;0;62;2;2;2;2;2;0;9;2;9;9;9
f;25;9;2;0;0;9;9;9;0;0;2;2;2;2;0;2;2;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;2;2;2;2;2;2;2;2;45;2;2;2;2;2;2;2;9;9;0;9;0;9;0;9;0;9;0;2;2;2;2;2;2;0;9;2;9;9;9
g;2;9;2;0;0;9;9;9;0;0;2;2;2;2;0;2;2;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;9;9;0;9;0;9;0;9;0;9;0;2;2;2;2;2;2;0;9;2;9;9;9
h;2;9;2;0;0;9;9;9;0;0;11;2;2;2;0;2;2;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2;0;34;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;9;9;0;9;0;9;0;9;0;9;0;2;2;2;2;2;2;0;9;2;9;9;9
i;42;9;2;0;0;9;9;9;0;0;2;2;2;2;0;2;2;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;35;2;2;2;2;2;2;2;2;2;2;2;2;48;2;2;9;9;0;9;0;9;0;9;0;9;0;2;2;2;2;2;2;0;9;2;9;9;9
j;2;9;2;0;0;9;9;9;0;0;2;2;2;2;0;2;2;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;9;9;0;9;0;9;0;9;0;9;0;2;2;2;2;2;2;0;9;2;9;9;9
k;2;9;2;0;0;9;9;9;0;0;2;2;2;2;0;2;2;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;9;9;0;9;0;9;0;9;0;9;0;2;2;2;2;2;2;0;9;2;9;9;9
l;2;9;2;0;0;9;9;9;0;0;2;2;2;2;0;2;2;2;0;2;2;2;23;2;2;26;2;2;2;2;2;2;0;2;2;36;2;2;39;2;2;2;2;2;2;2;2;2;2;2;9;9;0;9;0;9;0;9;0;9;0;2;2;2;2;2;2;0;9;2;9;9;9
m;2;9;2;0;0;9;9;9;0;0;2;2;2;2;0;2;2;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;9;9;0;9;0;9;0;9;0;9;0;2;2;2;2;2;2;0;9;2;9;9;9
n;2;9;2;0;0;9;9;9;0;0;2;2;2;2;0;2;2;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;2;2;2;2;2;2;2;2;43;2;2;2;2;2;2;2;9;9;0;9;0;9;0;9;0;9;0;2;2;2;2;66;2;0;9;2;9;9;9
o;2;9;2;0;0;9;9;9;0;0;2;2;2;2;0;2;2;2;0;20;2;2;2;2;2;30;27;2;2;2;2;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2;47;2;2;2;9;9;0;9;0;9;0;9;0;9;0;2;2;2;2;2;2;0;9;2;9;9;9
p;2;9;2;0;0;9;9;9;0;0;2;2;2;2;0;2;2;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;9;9;0;9;0;9;0;9;0;9;0;2;2;2;2;2;2;0;9;2;9;9;9
q;2;9;2;0;0;9;9;9;0;0;2;2;2;2;0;2;2;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;9;9;0;9;0;9;0;9;0;9;0;2;2;2;2;2;2;0;9;2;9;9;9
r;61;9;2;0;0;9;9;9;0;0;2;2;13;2;0;2;2;2;0;2;2;2;2;2;2;2;2;2;2;2;31;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;9;9;0;9;0;9;0;9;0;9;0;2;2;2;65;2;2;0;9;2;9;9;9
s;2;9;2;0;0;9;9;9;0;0;2;2;2;2;0;16;2;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;2;2;2;2;2;40;2;2;2;2;2;2;2;2;2;2;9;9;0;9;0;9;0;9;0;9;0;2;2;2;2;2;2;0;9;2;9;9;9
t;2;9;2;0;0;9;9;9;0;0;2;2;2;2;0;2;2;2;0;2;2;2;2;2;2;2;2;2;29;2;2;2;0;2;2;2;2;2;2;2;2;2;2;44;2;2;2;2;2;2;9;9;0;9;0;9;0;9;0;9;0;2;63;2;2;2;2;0;9;2;9;9;9
u;2;9;2;0;0;9;9;9;0;0;2;2;2;2;0;2;2;2;0;2;21;2;2;2;2;2;2;2;2;2;2;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;9;9;0;9;0;9;0;9;0;9;0;2;2;64;2;2;2;0;9;2;9;9;9
v;46;9;2;0;0;9;9;9;0;0;2;2;2;2;0;2;2;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;9;9;0;9;0;9;0;9;0;9;0;2;2;2;2;2;2;0;9;2;9;9;9
x;2;9;2;0;0;9;9;9;0;0;2;2;2;2;0;2;2;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;9;9;0;9;0;9;0;9;0;9;0;2;2;2;2;2;2;0;9;2;9;9;9
w;33;9;2;0;0;9;9;9;0;0;2;2;2;2;0;2;2;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;9;9;0;9;0;9;0;9;0;9;0;2;2;2;2;2;2;0;9;2;9;9;9
y;2;9;2;0;0;9;9;9;0;0;2;2;2;2;0;2;2;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;9;9;0;9;0;9;0;9;0;9;0;2;2;2;2;2;2;0;9;2;9;9;9
z;2;9;2;0;0;9;9;9;0;0;2;2;2;2;0;2;2;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;9;9;0;9;0;9;0;9;0;9;0;2;2;2;2;2;2;0;9;2;9;9;9
+;51;9;9;0;0;9;9;9;0;0;2;2;2;2;0;2;2;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;9;9;0;9;0;9;0;9;0;9;0;2;2;2;2;2;2;0;9;2;9;9;9
-;50;9;9;0;0;9;9;9;0;0;2;2;2;2;0;2;2;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;9;9;0;9;0;9;0;9;0;9;0;2;2;2;2;2;2;0;9;2;9;9;9
/;50;9;9;0;0;9;7;9;0;0;2;2;2;2;0;2;2;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;9;9;0;9;0;9;0;9;0;9;0;2;2;2;2;2;2;0;9;2;9;9;9
<;51;9;9;0;0;9;9;9;0;0;2;2;2;2;0;2;2;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;9;9;0;9;0;9;0;9;0;9;0;2;2;2;2;2;2;0;9;2;9;9;9
>;51;9;9;0;0;9;9;9;0;0;2;2;2;2;0;2;2;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;9;9;0;9;0;9;0;9;0;9;0;2;2;2;2;2;2;0;9;2;9;9;9
{;55;9;9;0;0;9;9;9;0;0;2;2;2;2;0;2;2;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;9;9;0;9;0;9;0;9;0;9;0;2;2;2;2;2;2;0;9;2;9;9;9
};57;9;9;0;0;9;9;9;0;0;2;2;2;2;0;2;2;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;9;9;0;9;0;9;0;9;0;9;0;2;2;2;2;2;2;0;9;2;9;9;9
(;53;9;9;0;0;9;9;9;0;0;2;2;2;2;0;2;2;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;9;9;0;9;0;9;0;9;0;9;0;2;2;2;2;2;2;0;9;2;9;9;9
);59;9;9;0;0;9;9;9;0;0;2;2;2;2;0;2;2;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;9;9;0;9;0;9;0;9;0;9;0;2;2;2;2;2;2;0;9;2;9;9;9
*;51;9;6;0;0;9;9;9;0;0;2;2;2;2;0;2;2;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;9;0;9;0;9;0;9;0;9;0;2;2;2;2;2;2;0;9;2;9;9;9
' � | \n;9;tk2;tk1;0;0;7;9;tk3;0;0;tk1;tk1;tk1;tk4;0;tk1;tk1;tk5;0;tk1;tk6;tk1;tk1;tk4;tk1;tk1;tk1;tk1;tk1;tk4;tk6;tk1;0;tk1;tk1;tk1;tk1;tk6;tk1;tk1;tk1;tk5;tk1;tk1;tk4;tk5;tk1;tk1;tk1;tk4;tk7;tk7;0;tk11;0;tk9;0;tk10;0;tk12;0;tk1;tk1;tk1;tk1;tk1;tk8;0;9;9;tk7;tk7;9
.;9;68;9;0;0;9;9;9;0;0;2;2;2;2;0;2;2;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;9;9;0;9;0;9;0;9;0;9;0;2;2;2;2;2;2;0;9;2;9;9;9
_;2;9;2;0;0;9;9;9;0;0;2;2;2;2;0;2;2;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;9;9;0;9;0;9;0;9;0;9;0;2;2;2;2;2;2;0;9;2;9;9;9
=;70;9;2;0;0;9;9;9;0;0;2;2;2;2;0;2;2;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;2;2;2;2;2;2;2;18;2;2;2;2;2;2;2;2;9;9;0;9;0;9;0;9;0;9;0;2;2;2;2;2;2;0;9;2;71;9;71
!;72;9;2;0;0;9;9;9;0;0;2;2;2;2;0;2;2;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;9;9;0;9;0;9;0;9;0;9;0;2;2;2;2;2;2;0;9;2;9;9;9
